Name,PROVINCE,DISTRICT,COSTITUENCY,DIVISION,LOCATION,SUBLOCATIO,Level,Status,Sponsor,Longitude,Latitude,# Classrooms
KARUNGA TOWNHIP ECD,RIFT VALLEY,NAKURU,NAIVASHA,GILGIL,KARUNGA,KARUNGA,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,36.35918,-0.40768,
KARUNGANGI ECD,CENTRAL,MARAGUA,MARAGWA,MAKUYU,MAKUYU,KIMORORI,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,37.14901,-0.95222,1
KARUNGANGI PRI,CENTRAL,MARAGUA,MARAGWA,MAKUYU,MAKUYU,KIMORORI,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,37.14901,-0.95222,17
KARUNG'E ECD,CENTRAL,MURANGA,MATHIOYA,MATHIOYA,GITUGI,KARUNG'E,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,36.98291,-0.65416,2
KARUNG'E PRI SCH,CENTRAL,MURANGA,MATHIOYA,MATHIOYA,GITUGI,KARUNG'E,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,36.98291,-0.65416,27
KARUNG'E SPECIAL UNIT,CENTRAL,MURANGA,MATHIOYA,MATHIOYA,GITUGI,KARUNGE,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,36.98291,-0.65416,2
KARUNG'O ECD,RIFT VALLEY,NAKURU,SUBUKIA,MBOGOINI,SUBUKIA,SUBUKIA,ECD/PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,36.22881,0.01184,
KARUNGU ADULT CENTRE,EASTERN,EMBU,RUNYENJES,KYENI,KYENI SOUTH,KATHANJURI,NON FORMAL SCHOOL/NON FORMAL EDUCATION CENTRE,PUBLIC,CENTRAL GOVERNMENT/DEB,37.61275,-0.41931,2
KARUNGU ADULT CENTRE,NYANZA,GUCHA,SOUTH MUGIRANGO,ETAGO,S. MUGIRANGO BORABU,KIAGWARE,NON FORMAL SCHOOL/NON FORMAL EDUCATION CENTRE,PUBLIC,CENTRAL GOVERNMENT/DEB,34.67580,-0.85086,1
KARUNGU COMMUNITY ECD,WESTERN,BUSIA,NAMBALE,NAMBALE,BUKHAYO EAST,SIKINGA,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,34.36079,0.46927,0
KARUNGU DEB ECD,NYANZA,GUCHA,SOUTH MUGIRANGO,ETAGO,S. MUGIRANGO BORABU,KIAGWARE,ECD/PRE-PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,34.67580,-0.85086,1
KARUNGU DEB PRI,NYANZA,GUCHA,SOUTH MUGIRANGO,ETAGO,S. MUGIRANGO BORABU,KIAGWARE,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,34.67580,-0.85086,9
KARUNGU ECD,EASTERN,EMBU,RUNYENJES,KYENI,KYENI SOUTH,KATHANJURI,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.61725,-0.41933,1
KARUNGU ECD,RIFT VALLEY,LAIKIPIA,LAIKIPIA EAST,LAMURIA,SIRIMA,MUHONIA,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,36.80838,-0.09727,
KARUNGU PRY SCH,RIFT VALLEY,LAIKIPIA,LAIKIPIA EAST,LAMURIA,SIRIMA,MUHONIA,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,36.80838,-0.09727,
KARUNGU SDA SEC,NYANZA,GUCHA,SOUTH MUGIRANGO,ETAGO,S. MUGIRANGO BORABU,KIAGWARE,SECONDARY SCHOOL,PUBLIC,LOCAL GOVERNMENT AUTHORITY,34.67580,-0.85086,4
KARUNGURU ESTATE ECD,CENTRAL,THIKA,JUJA,RUIRU,JUJA,KIAORA,PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,36.95933,-1.05669,1
KARURA EC,EASTERN,MBEERE,GACHOKA,GACHOKA,MUTUOBARE,KINDARUMA,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,37.88057,-0.74190,1
KARURA ECD,EASTERN,MWINGI,MWINGI SOUTH,CENTRAL,KYETHANI,KARURA,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.94260,-0.83004,1
KARURA FOREST PRI SCH,NAIROBI,NAIROBI,WESTLANDS,WESTLANDS,HIGHRIDGE,MUTHAIGA,PRIMARY SCHOOL,PUBLIC,LOCAL GOVERNMENT AUTHORITY,36.83994,-1.24680,16
KARURA NURSERY,CENTRAL,KIAMBU,KABETE,KIKUYU,NYATHUNA,KARURA,ECD/PRE-PRIMARY SCHOOL,PUBLIC,LOCAL GOVERNMENT AUTHORITY,36.72515,-1.19796,0
KARURA NURSERY,CENTRAL,NYERI,MATHIRA,MATHIRA,MAGUTU,GIKUMBO,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,37.13175,-0.44922,2
KARURA PRI,EASTERN,MWINGI,MWINGI SOUTH,CENTRAL,KYETHANI,KARURA,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.94260,-0.83004,10
KARURA PRI,CENTRAL,NYERI,MATHIRA,MATHIRA,MAGUTU,GIKUMBO,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,37.13198,-0.45021,10
KARURA PRI SCH,CENTRAL,MURANGA,KANGEMA,KANGEMA,KIRURI,ICHICHI,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,36.86141,-0.72481,12
KARURA PRI. SCH.,EASTERN,MBEERE,GACHOKA,GACHOKA,MUTUOBARE,KINDARUMA,PRIMARY SCHOOL,PUBLIC,COMMUNITY,37.88057,-0.74190,11
KARURA SDA CHURCH SCH - ECD,NAIROBI,NAIROBI,WESTLANDS,WESTLANDS,PARKLANDS,MUTHAIGA,ECD/PRE-PRIMARY SCHOOL,PRIVATE,LOCAL GOVERNMENT AUTHORITY,36.77949,-1.22292,2
KARURA SDA CHURCH SCH - PRI,NAIROBI,NAIROBI,WESTLANDS,WESTLANDS,PARKLANDS,MUTHAIGA,PRIMARY SCHOOL,PRIVATE,LOCAL GOVERNMENT AUTHORITY,36.77949,-1.22292,9
KARURA SDA CHURCH SCH - SEC,NAIROBI,NAIROBI,WESTLANDS,WESTLANDS,HIGHRIDGE,KARURA,SECONDARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,36.77949,-1.22292,8
KARURA VICTORY KINDERGATEN,CENTRAL,NYERI,MATHIRA,MATHIRA,MAGUTU,RAGATI,ECD/PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,37.13387,-0.44732,4
KARURAINI NURSERY,CENTRAL,NYERI,TETU,TETU,MAHOYA,KARUNAINI,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,36.85843,-0.41241,1
KARURAINI PRY SCH,CENTRAL,NYERI,TETU,TETU,MAHOYA,KARUNAINI,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,36.85843,-0.41241,8
KARURE PRI ECD,CENTRAL,THIKA,GATUNDU NORTH,KAMWANGI,MANGU,KARURE,PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,36.92346,-0.96504,2
KARURE PRI SCH,CENTRAL,THIKA,GATUNDU NORTH,KAMWANGI,MANGU,KARURE,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,36.92346,-0.96504,10
KARURI ECD,EASTERN,MWINGI,MWINGI NORTH,TSEIKURU,MUSAVANI,KYENINI,ECD/PRE-PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,38.26849,-0.15779,1
KARURI ECD,CENTRAL,NYANDARUA,KIPIPIRI,KIPIPIRI,KAIMBAGA,KAIMBAGA,ECD/PRE-PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,36.41789,-0.48052,2
KARURI ECD,CENTRAL,NYANDARUA,NDARAGWA,NDARAGWA,SHAMATA,KARANDI,ECD/PRE-PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,36.53119,-0.16140,4
KARURI ECD,CENTRAL,MARAGUA,KIGUMO,MARAGUA,MUTHITHI,MUNGUINI,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,37.06861,-0.83224,1
KARURI GAKURE SEC  SCH,CENTRAL,MURANGA,KANGEMA,KANGEMA,KIRURI,TUTHU,SECONDARY SCHOOL,PUBLIC,LOCAL GOVERNMENT AUTHORITY,36.83355,-0.66502,5
KARURI HIGH SCH,CENTRAL,KIAMBU,KIAMBAA,KIAMBAA,KIAMBAA,NJIKU,SECONDARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,36.75251,-1.17204,14
KARURI MSINGI BORA ACADEMY,CENTRAL,KIAMBU,KIAMBAA,KIAMBAA,KARURI,KARURI,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,36.75247,-1.17608,7
KARURI MSINGI BORA ACADEMY,CENTRAL,KIAMBU,KIAMBAA,KIAMBAA,KARURI,KARURI,ECD/PRE-PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,36.75247,-1.17608,3
KARURI MSINGI BORA ACADEMY,CENTRAL,KIAMBU,KIAMBAA,KIAMBAA,KARURI,KARURI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,36.75247,-1.17608,4
KARURI MSINGI BORA PRIMARY,CENTRAL,KIAMBU,KIAMBAA,KIAMBAA,KARURI,KARURI,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,36.75423,-1.17688,6
KARURI NEW APOSTOLIC ECD,EASTERN,MERU NORTH,IGEMBE,IGEMBE EAST,MIORI,KAURINE,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.98908,0.25196,1
KARURI NURSERY,CENTRAL,KIAMBU,KIAMBAA,KIAMBAA,KARURI,KARURI,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,36.75637,-1.17271,2
KARURI NURSERY SCH,CENTRAL,MURANGA,KANGEMA,KANGEMA,MUGURU,KANORERO,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,36.97091,-0.67236,2
KARURI NURSERY SCH,CENTRAL,MURANGA,KANGEMA,KANGEMA,KIRURI,ICHICHI,ECD/PRE-PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,36.86141,-0.72481,2
KARURI NURSERY SCH,CENTRAL,MURANGA,KIHARU,KAHURO,MURARANDIA,KAGANDA,ECD/PRE-PRIMARY SCHOOL,PUBLIC,NGO/CBO,36.93813,-0.74000,1
KARURI PRI SCH,CENTRAL,KIAMBU,KIAMBAA,KIAMBAA,KARURI,KARURI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,36.75637,-1.17271,29
KARURI PRI SCH,CENTRAL,MURANGA,KANGEMA,KANGEMA,MUGURU,KANORERO,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,36.97091,-0.67236,17
KARURI PRI SCH ADULT CENTRE,EASTERN,EMBU,RUNYENJES,NEMBURE,MAKENGI,MAKENGI,NON FORMAL SCHOOL/NON FORMAL EDUCATION CENTRE,PUBLIC,RELIGIOUS ORGANIZATION,37.51739,-0.46143,1
KARURI YOUTH POLYTECHNIC,CENTRAL,MURANGA,KIHARU,KIHARU,MUGOIRI,GATUNDU,YOUTH POLYTECHNIC,PUBLIC,NGO/CBO,37.04359,-0.73978,7
KARURINI PRE SCH,EASTERN,MERU SOUTH,NITHI,CHUKA,MUGWE,MUGIRIRWA,ECD/PRE-PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,37.64773,-0.33998,1
KARURU PRI,CENTRAL,NYANDARUA,KIPIPIRI,KIPIPIRI,LELESHWA,LELESHWA,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,36.41789,-0.48052,8
KARURUINI PRI SCH,CENTRAL,MURANGA,KIHARU,KAHURO,MURARANDIA,THEIR,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,36.93102,-0.71976,8
KARURUMO,CENTRAL,MURANGA,KIHARU,KAHURO,MUGOIRI,KIRIA,ECD/PRE-PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,37.06182,-0.76381,1
KARURUMO MIXED SEC,CENTRAL,MURANGA,KANGEMA,KANGEMA,KIRURI,KARURUMO,SECONDARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,36.83184,-0.68377,4
KARURUMO NUR SCH,EASTERN,EMBU,RUNYENJES,KYENI,KARURUMO,KARURUMO,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.64639,-0.46402,1
KARURUMO NURSERY,CENTRAL,MURANGA,KANGEMA,KANGEMA,KIRURI,KARURUMO,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,36.83098,-0.68343,1
KARURUMO PRI SCH,EASTERN,EMBU,RUNYENJES,KYENI,KARURUMO,KARURUMO,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.64639,-0.46402,18
KARURUMO PRI SCH,CENTRAL,MURANGA,KANGEMA,KANGEMA,KIRURI,KARURUMO,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,36.83098,-0.68343,16
KARURUMO PRI SPECIAL UNIT,EASTERN,EMBU,RUNYENJES,KYENI,KARURUMO,KARURUMO,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.64639,-0.46402,1
KARURUNE ECD,EASTERN,MERU NORTH,TIGANIA EAST,TIGANIA EAST,THANKATHA,GIITHU,ECD/PRE-PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,37.90696,0.12056,1
KARURUNE NURSERY SCH,EASTERN,MERU NORTH,,IGEMBE S/EAST,KIRIMAMPIO,BWETHAA,,,,37.97964,0.21891,0
KARURUNE PRY,EASTERN,MERU NORTH,TIGANIA EAST,TIGANIA EAST,THANKATHA,GIITHU,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,37.90696,0.12056,9
KARURUNE PRY SCH,EASTERN,MERU NORTH,,IGEMBE S/EAST,KIRIMAMPIO,BWETHAA,,,,37.97964,0.21891,0
KARURUNE YOUTH POLYTECHNIC,EASTERN,MERU CENTRAL,NORTH IMENTI,MIRIGA MIERU WEST,NTHIMBIRI,NTHIMBIRI,YOUTH POLYTECHNIC,PUBLIC,COMMUNITY,37.62300,0.02511,3
KARUTHI ECD,CENTRAL,NYERI,OTHAYA,OTHAYA,CHINGA,KARUTHI,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,36.97213,-0.57693,2
KARUTHI PRI SCH,CENTRAL,NYERI,OTHAYA,OTHAYA,CHINGA,KARUTHI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,36.97213,-0.57693,8
KARUWA ECD,NYANZA,SIAYA,GEM,WAGAI,NORTH EAST GEM,URIRI,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,34.43704,0.02397,1
KARUWA PRIMARY,NYANZA,SIAYA,GEM,WAGAI,NORTH EAST GEM,URIRI,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,34.43704,0.02397,8
KARUWEN ECD,RIFT VALLEY,BARINGO,BARINGO EAST,NGINYANG,RIBKWO,CHESAKAM,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,35.97136,1.00599,
KARWIR0  PR. SCH.,EASTERN,MBEERE,GACHOKA,GACHOKA,GICHICHE,GIHICHE,PRIMARY SCHOOL,PUBLIC,COMMUNITY,37.69196,-0.73039,8
KARWIRO ECD,EASTERN,MERU SOUTH,NITHI,CHUKA,KITHANGANI,RIANTHIGA,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,37.73912,-0.39448,1
KARWIRO ECD,EASTERN,MBEERE,GACHOKA,GACHOKA,GICHICHE,GICHICHE,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,37.69196,-0.73039,1
KARWIRO PRI,EASTERN,MERU SOUTH,NITHI,CHUKA,KITHANGANI,RIANTHIGA,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.73912,-0.39448,8
KASA EMMANUEL PRI SCH,NAIROBI,NAIROBI,KASARANI,KASARANI,RUARAKA,BABA DOGO,PRIMARY SCHOOL,PRIVATE,NGO/CBO,36.88260,-1.23820,5
KASA EMMANUEL SCH ECD,NAIROBI,NAIROBI,KASARANI,KASARANI,RUARAKA,BABA DOGO,ECD/PRE-PRIMARY SCHOOL,PRIVATE,NGO/CBO,36.88260,-1.23820,5
KASAALA NUR SCH,EASTERN,KITUI,KITUI SOUTH,IKUTHA,KASAALA,KASAALA,ECD/PRE-PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,38.26447,-2.13038,2
KASAALA PRI SCH,EASTERN,KITUI,KITUI SOUTH,IKUTHA,KASAALA,KASAALA,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,38.26447,-2.13038,14
KASAALA SEC SCH,EASTERN,KITUI,KITUI SOUTH,IKUTHA,KASAALA,KASAALA,SECONDARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,38.26692,-2.13058,4
KASAANI PRE-SCHOOL,COAST,TAITA TAVETA,TAVETA,TAVETA,BOMENI,MAHOO,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,37.74531,-3.38746,1
KASAFARI ADULT CENTRE,EASTERN,EMBU,RUNYENJES,KYENI,KARURUMO,KASAFARI,NON FORMAL SCHOOL/NON FORMAL EDUCATION CENTRE,PUBLIC,LOCAL GOVERNMENT AUTHORITY,37.69222,-0.48737,1
KASAFARI ECD,EASTERN,EMBU,RUNYENJES,KYENI,KARURUMO,KASAFARI,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.69222,-0.48737,1
KASAGENI ECD,COAST,KWALE,KINANGO,KINANGO,VIGURUNGANI,BUSA,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,39.13289,-4.08958,0
KASAGENI PRY SCH,COAST,KWALE,KINANGO,KINANGO,VIGURUNGANI,BUSA,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,39.13289,-4.08958,8
KASAIM PRI,EASTERN,MWINGI,MWINGI NORTH,TSEIKURU,MASYUNGWA,KITOVOTO,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,38.37709,-0.36087,9
KASAINI ECD,EASTERN,MACHAKOS,MACHAKOS TOWN,CENTRAL,MUTITUNI,KIVUTINI,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,37.23631,-1.43634,0
KASAINI PRE-SCHOOL,EASTERN,MWINGI,MWINGI NORTH,TSEIKURU,MASYUNGWA,KITOVOTO,ECD/PRE-PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,38.37709,-0.36087,1
KASAINI PRI SCH,EASTERN,MACHAKOS,MACHAKOS TOWN,CENTRAL,MUTITUNI,KIVUTINI,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,37.23631,-1.43634,11
KASAKA ECD,RIFT VALLEY,BARINGO,BARINGO NORTH,KABARTONJO,KELIO,KASAKA,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,35.77448,0.71860,
KASAKA ECD,RIFT VALLEY,WEST POKOT,KACHELIBA,KASEI,KAPTOLOMWO,KAPTOLOMWO,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,35.23529,1.97679,
KASAKA PRI,RIFT VALLEY,BARINGO,BARINGO NORTH,KABARTONJO,KELIO,KASAKA,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,35.77448,0.71860,
KASAKA PRI SCH,RIFT VALLEY,WEST POKOT,KACHELIBA,KASEI,KAPTOLOMWO,KAPTOLOMWO,PRIMARY SCHOOL,PUBLIC,COMMUNITY,35.23529,1.97679,
KASAKINI ECD,EASTERN,KITUI,KITUI WEST,MUTONGUNI,KATUTU,KASAKINI,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,37.77551,-1.17968,2
KASAKINI PRIMARY,EASTERN,KITUI,KITUI WEST,MUTONGUNI,KATUTU,KASAKINI,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,37.77551,-1.17968,8
KASALANI ECD,EASTERN,MAKUENI,MAKUENI,WOTE,WOTE,MUVAU,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,37.63997,-1.84535,1
KASAMBANI ECD,EASTERN,MAKUENI,MAKUENI,KATHONZWENI,KATHONZWENI,KATHONZWENI,ECD/PRE-PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,37.68697,-1.89745,1
KASAMBANI PRI,EASTERN,MAKUENI,MAKUENI,KATHONZWENI,KATHONZWENI,KAVINGONI,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,37.68697,-1.89745,8
KASAMBARA ECD,RIFT VALLEY,NAKURU,NAIVASHA,GILGIL,GILGIL,MBARUK,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,36.24101,-0.36182,
KASAMBARA PRI,RIFT VALLEY,NAKURU,NAIVASHA,GILGIL,GILGIL,MBARUK,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,36.24101,-0.36182,
KASANGA ECD,EASTERN,MWINGI,MWINGI SOUTH,MIGWANI,THITANI,KASANGA,ECD/PRE-PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,37.94637,-1.06849,1
KASANGA PRIMARY,EASTERN,MWINGI,MWINGI SOUTH,MIGWANI,THITANI,KASANGA,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,37.94637,-1.06849,8
KASANGANY ECD,NYANZA,KISUMU,NYANDO,KADIBO,KANYAGWAL,ANYURO,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,34.86641,-0.21991,3
KASANGANY PRI SCH,NYANZA,KISUMU,NYANDO,KADIBO,KANYAGWAL,ANYURO,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,34.86641,-0.21991,10
KASANG'U ECD,EASTERN,KITUI,MUTITO,MUTHA,VOO,NZUNGUNI,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,38.43249,-1.63885,0
KASANG'U PRIMARY,EASTERN,KITUI,MUTITO,MUTHA,VOO,NZUNGUNI,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,38.43249,-1.63885,8
KASAR ECD,RIFT VALLEY,KEIYO,KEIYO SOUTH,METKEI,KOCHOLWO,SALAWA,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,35.66808,0.21874,
KASAR PRI,RIFT VALLEY,KEIYO,KEIYO SOUTH,METKEI,KOCHOLWO,SALAWA,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,35.66808,0.21874,
KASARANI ACADEMY SEC SCHOOL,NAIROBI,NAIROBI,KASARANI,KASARANI,KASARANI,KASARANI,SECONDARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,36.90103,-1.21499,0
KASARANI EDC CENTER ECD,NAIROBI,NAIROBI,KASARANI,KASARANI,KASARANI,KASARANI,ECD/PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,36.89518,-1.21612,0
KASARANI POLICE NURSERY,NAIROBI,NAIROBI,KASARANI,KASARANI,KASARANI,KASARANI,ECD/PRE-PRIMARY SCHOOL,PRIVATE,COMMUNITY,36.89947,-1.21760,0
KASARANI PREP SCHOOL,NAIROBI,NAIROBI,KASARANI,KASARANI,MWIKI,KARURA,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,36.93382,-1.22854,8
KASARANI PREP SCHOOL - ECD,NAIROBI,NAIROBI,KASARANI,KASARANI,MWIKI,KARURA,ECD/PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,36.93382,-1.22854,1
KASARANI PRE-SCHOOL,EASTERN,MWINGI,MWINGI NORTH,CENTRAL,MWINGI,KIVOU,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,38.11082,-0.91980,1
KASARANI PRI. SCH,NAIROBI,NAIROBI,KASARANI,KASARANI,KASARANI,KASARANI,PRIMARY SCHOOL,PUBLIC,LOCAL GOVERNMENT AUTHORITY,36.90363,-1.21780,19
KASARANI PRI. SCH- ECD,NAIROBI,NAIROBI,KASARANI,KASARANI,KASARANI,KASARANI,ECD/PRE-PRIMARY SCHOOL,PUBLIC,LOCAL GOVERNMENT AUTHORITY,36.90363,-1.21780,1
KASARANI SENIOR SCH - SEC,NAIROBI,NAIROBI,,KASARANI,KASARANI,KASARANI,SECONDARY SCHOOL,,,36.89514,-1.22120,0
KASARANI VICTORY ACADEMY - ECD,NAIROBI,NAIROBI,,KASARANI,RUARAKA,MATHARE NORTH,ECD/PRE-PRIMARY SCHOOL,,,36.87431,-1.24907,0
KASARANI VICTORY ACADEMY - PRI,NAIROBI,NAIROBI,,KASARANI,RUARAKA,MATHARE NORTH,PRIMARY SCHOOL,,,36.87431,-1.24907,0
KASARINI NURSERY SCHOOL,CENTRAL,KIAMBU,KIAMBAA,MUNICIPALITY,SETTLED AREA,THINDIGWA,ECD/PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,36.82405,-1.19704,1
KASARINI PRIMARY SCHOOL,CENTRAL,KIAMBU,KIAMBAA,MUNICIPALITY,SETTLED AREA,THINDIGWA,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,36.82405,-1.19704,16
KASASULE NUR,EASTERN,MAKUENI,KIBWEZI,KIBWEZI,UTITHI,THANGE,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,37.95641,-2.53370,2
KASASULE PRY,EASTERN,MAKUENI,KIBWEZI,KIBWEZI,UTITHI,THANGE,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,37.95641,-2.53370,11
KASAU ECD,NYANZA,BONDO,BONDO,USIGU,N. YIMBO,NYAMONYE,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,34.11644,-0.01154,1
KASAU PRI SCH,NYANZA,BONDO,BONDO,USIGU,N. YIMBO,NYAMONYE,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,34.11644,-0.01154,8
KASAVANI PRIMARY SCHOOL,EASTERN,MWINGI,MWINGI SOUTH,MIGWANI,NZAUN,MIUIVU,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,38.03699,-1.15038,8
KASAVANI PRIMARY SCHOOL E.C.D,EASTERN,MWINGI,MWINGI SOUTH,MIGWANI,NZAUNI,MUIVU,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,38.03699,-1.15038,1
KASAVINI ECD CENTRE,EASTERN,MWINGI,MWINGI SOUTH,MIGWANI,THAANA-NZAU,THAANA-NZAU,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.86966,-0.86057,1
