Name,PROVINCE,DISTRICT,COSTITUENCY,DIVISION,LOCATION,SUBLOCATIO,Level,Status,Sponsor,Longitude,Latitude,# Classrooms
ST. JOSEPH LUNYU 'K' ECD,WESTERN,KAKAMEGA,MALAVA,KABRAS,SHIVANGA,MANDA,ECD/PRE-PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,34.84067,0.56972,2
ST. JOSEPH LUNYU 'K' PRY,WESTERN,KAKAMEGA,MALAVA,KABRAS,SHIVANGA,MANDA,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,34.84067,0.56972,12
ST. JOSEPH MUKASA MIROGI GIRLS BOARDING SEC SCH,NYANZA,HOMA BAY,NDHIWA,NDHIWA,CENTRAL KANYAMWA,KABONYO,SECONDARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,34.38600,-0.69734,11
ST. JOSEPH NDNDA ECD,EASTERN,EMBU,MANYATTA,MANYATTA,NGINDA,KIBUGU,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.42900,-0.46982,1
ST. JOSEPH NDUNDA PRI SCH,EASTERN,EMBU,MANYATTA,MANYATTA,NGINDA,KIBUGU,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.42900,-0.46982,8
ST. JOSEPH NGIINI NURSERY,EASTERN,MACHAKOS,KATHIANI,KATHIANI,MITABONI,NGIINI,ECD/PRE-PRIMARY SCHOOL,PRIVATE,COMMUNITY,37.27580,-1.39393,2
ST. JOSEPH NG'ULA ECD,NYANZA,NYANDO,MUHORONI,MIWANI,NYANG'OMA,WANG'AYA 1,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,35.05381,-0.13708,0
ST. JOSEPH NG'ULA PRI,NYANZA,NYANDO,MUHORONI,MIWANI,NYANG'OMA,WANG'AYA 1,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,35.05381,-0.13708,8
ST. JOSEPH NURSERY,CENTRAL,MURANGA,KIHARU,KIHARU,MUKUYU,TOWNSHIP,ECD/PRE-PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,37.15864,-0.72442,3
ST. JOSEPH NURSERY,RIFT VALLEY,NAKURU,NAKURU TOWN,NAKURU MUNI.,BAHARINI,BAHARINI,ECD/PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,36.07049,-0.31108,
ST. JOSEPH OCHIEL ECD,NYANZA,SIAYA,UGENYA,UKWALA,NORTH UGENYA,NYALENYA,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,34.18611,0.25034,1
ST. JOSEPH OCHIEL PRIMARY,NYANZA,SIAYA,UGENYA,UKWALA,NORTH UGENYA,NYALENYA,PRIMARY SCHOOL,PUBLIC,COMMUNITY,34.18611,0.25034,8
ST. JOSEPH OF TARBES ECD,EASTERN,EMBU,RUNYENJES,NEMBURE,MAKENGI,MAKENGI,ECD/PRE-PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,37.50123,-0.45431,2
ST. JOSEPH OF TARBES PRI SCH,EASTERN,EMBU,RUNYENJES,NEMBURE,MAKENGI,MAKENGI,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,37.50123,-0.45431,8
